Latitude: 42.4687  Longitude: -76.3787
X & Y on Lambert Conformal Conic: 1827755.7 257220.59
Tile: 11932
Elevation: 503 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S-C. Kao; and B.E. Wilson. 2022. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4 R1. ORNL DAAC; Oak Ridge; Tennessee; USA. https://doi.org/10.3334/ORNLDAAC/2129
year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2019,241,47138.25,0.00,378.41,0.00,20.96,9.99,1226.55
2019,242,46967.90,0.00,394.40,0.00,23.48,11.30,1338.37
2019,243,46796.89,0.00,411.16,0.00,19.54,6.92,995.90
2019,244,46625.26,15.84,306.43,0.00,20.08,7.64,1046.28
2019,245,46453.04,4.13,244.96,0.00,20.89,11.80,1383.51
2019,246,46280.27,0.00,393.83,0.00,23.12,10.85,1299.28
2019,247,46106.98,8.51,290.24,0.00,23.67,11.84,1387.20
2019,248,45933.20,0.00,393.16,0.00,19.43,7.80,1057.85
2019,249,45758.97,1.46,438.84,0.00,21.09,6.03,936.86
2019,250,45584.32,3.97,261.15,0.00,18.33,8.44,1105.15
2019,251,45409.28,0.00,323.78,0.00,18.72,9.61,1195.99
2019,252,45233.88,0.00,381.52,0.00,18.07,6.48,966.51
2019,253,45058.15,6.62,336.99,0.00,25.54,7.59,1042.81
2019,254,44882.13,1.37,415.57,0.00,27.54,11.74,1377.57
2019,255,44705.83,1.88,167.50,0.00,17.11,12.69,1466.75
2019,256,44529.30,0.99,362.81,0.00,17.90,6.75,984.66
2019,257,44352.56,0.00,331.32,0.00,19.57,9.61,1195.39
2019,258,44175.64,2.07,284.22,0.00,21.79,9.26,1167.62
2019,259,43998.56,0.00,341.41,0.00,19.60,8.97,1145.40
2019,260,43821.36,0.00,400.71,0.00,19.77,5.55,905.91
2019,261,43644.07,0.00,409.65,0.00,20.10,4.71,854.49
2019,262,43466.70,0.00,410.54,0.00,20.04,4.21,824.86
2019,263,43289.29,0.00,408.41,0.00,22.82,6.09,940.44
2019,264,43111.87,0.00,409.62,0.00,25.71,7.43,1031.67
2019,265,42934.46,0.00,391.56,0.00,28.02,10.52,1270.99
2019,266,42757.10,11.60,201.43,0.00,23.17,14.00,1598.22
2019,267,42579.80,2.60,172.76,0.00,17.06,9.84,1213.91
2019,268,42402.60,0.00,380.74,0.00,23.58,7.50,1036.58
2019,269,42225.52,2.59,222.29,0.00,18.19,8.09,1078.86
2019,270,42048.60,0.00,366.81,0.00,20.20,5.08,876.57
2019,271,41871.86,2.22,281.63,0.00,25.96,8.79,1131.70
2019,272,41695.32,0.00,208.71,0.00,17.67,10.62,1279.28
2019,273,41519.03,2.26,170.12,0.00,15.64,8.09,1079.09
2019,274,41343.00,3.92,264.84,0.00,28.31,12.00,1401.89
2019,275,41167.28,6.08,175.68,0.00,20.91,12.51,1449.61
2019,276,40991.87,24.65,165.39,0.00,13.20,5.83,924.08
2019,277,40816.83,0.00,216.40,0.00,11.22,4.04,815.18
2019,278,40642.18,0.00,356.17,0.00,13.38,-2.00,527.34
2019,279,40467.94,16.97,250.31,0.00,15.72,2.15,712.93
2019,280,40294.16,13.11,114.14,0.00,14.16,9.10,1155.40
2019,281,40120.87,0.00,280.85,0.00,15.36,4.66,851.71
2019,282,39948.09,0.00,296.43,0.00,14.66,2.94,754.40
2019,283,39775.87,0.00,334.23,0.00,18.16,2.93,753.64
2019,284,39604.23,0.00,346.70,0.00,19.47,2.04,707.65
2019,285,39433.22,2.49,174.49,0.00,11.36,2.84,749.09
2019,286,39262.86,0.00,332.82,0.00,15.79,-0.44,591.27
2019,287,39093.21,0.00,271.55,0.00,13.49,2.28,719.64
2019,288,38924.28,0.00,294.33,0.00,13.26,0.27,622.86
2019,289,38756.14,30.19,203.31,0.00,13.76,2.40,725.77
2019,290,38588.80,21.39,40.13,0.00,6.10,4.75,856.60
2019,291,38422.32,3.00,104.58,0.00,6.61,1.81,696.14
2019,292,38256.73,0.00,312.08,0.00,13.08,-2.03,526.35
2019,293,38092.08,0.00,296.64,0.00,13.93,0.15,617.42
2019,294,37928.41,0.00,287.71,0.00,17.11,3.65,793.11
2019,295,37765.76,19.70,185.19,0.00,15.14,5.15,881.30
2019,296,37604.19,0.00,268.25,0.00,13.61,1.82,696.31
2019,297,37443.73,0.00,303.92,0.00,18.58,1.48,679.66
2019,298,37284.44,1.72,181.03,0.00,10.63,3.68,795.09
2019,299,37126.36,7.34,154.29,0.00,12.11,3.97,811.30
2019,300,36969.54,6.65,188.00,0.00,15.45,4.42,837.02
2019,301,36814.03,0.00,194.31,0.00,16.99,9.07,1153.05
2019,302,36659.89,0.00,148.89,0.00,14.66,8.92,1141.57
2019,303,36507.16,8.16,51.45,0.00,13.27,10.90,1303.65
2019,304,36355.90,47.31,161.76,0.00,19.09,9.90,1218.88
2019,305,36206.16,0.00,131.65,0.00,6.03,1.32,671.97
2019,306,36058.00,0.00,181.29,0.00,7.36,0.41,629.01
2019,307,35911.47,0.57,136.91,0.00,3.89,-1.07,564.87
2019,308,35766.64,0.00,217.02,0.00,7.56,-1.39,551.68
2019,309,35623.55,3.83,131.97,0.00,7.76,1.18,665.25
2019,310,35482.27,0.00,158.39,0.00,6.17,0.24,621.44
2019,311,35342.86,8.25,139.74,0.00,5.99,-1.15,561.31
2019,312,35205.38,2.51,120.69,2.51,-3.63,-8.68,317.17
2019,313,35069.88,0.00,277.22,2.51,0.41,-11.38,256.08
2019,314,34936.43,0.82,279.52,3.33,6.62,-6.06,388.69
2019,315,34805.09,7.54,69.04,1.54,1.00,-1.74,537.47
2019,316,34675.93,3.16,147.53,4.70,-2.62,-8.93,311.13
2019,317,34549.00,2.29,132.21,6.99,-6.20,-11.61,251.47
2019,318,34424.37,0.00,248.27,6.99,0.05,-9.39,300.13
2019,319,34302.10,0.00,245.78,6.99,3.33,-6.19,384.69
2019,320,34182.26,0.00,219.93,6.99,-1.55,-9.50,297.43
2019,321,34064.91,0.00,264.43,6.99,2.54,-9.90,288.14
2019,322,33950.12,0.00,234.24,6.92,3.60,-5.83,395.33
2019,323,33837.94,0.00,125.16,4.88,2.84,-1.14,561.81
2019,324,33728.45,0.00,112.26,2.75,2.52,-0.92,570.93
2019,325,33621.70,1.14,224.57,0.65,7.94,-1.00,567.85
2019,326,33517.75,1.67,204.79,0.00,7.07,-2.15,521.47
2019,327,33416.68,6.54,181.13,6.54,3.60,-6.01,389.96
2019,328,33318.54,0.00,210.30,5.75,3.70,-4.13,449.76
2019,329,33223.40,0.00,201.14,3.47,6.96,-0.56,586.08
2019,330,33131.30,0.00,240.54,0.47,13.42,1.14,663.01
2019,331,33042.32,6.86,167.27,0.00,13.14,0.28,623.23
2019,332,32956.52,2.19,80.94,0.00,2.52,-1.35,553.29
2019,333,32873.94,0.00,70.98,0.00,-3.06,-5.47,406.57
2019,334,32794.64,0.00,148.15,0.00,-1.91,-7.63,344.17
2019,335,32718.68,21.40,153.39,21.40,-2.03,-9.64,294.18
2019,336,32646.12,6.45,104.38,27.85,-1.90,-6.42,378.13
2019,337,32577.00,0.00,154.78,27.85,-3.03,-8.30,326.79
2019,338,32511.36,3.66,125.84,27.85,-0.24,-5.99,390.76
2019,339,32449.27,1.44,69.04,26.91,-1.71,-3.76,462.52
2019,340,32390.76,2.20,144.27,26.65,1.70,-5.39,409.04
2019,341,32335.88,0.00,171.30,26.65,-3.52,-9.59,295.26
2019,342,32284.67,0.00,245.06,26.65,1.58,-14.49,198.97
2019,343,32237.17,5.63,179.08,26.49,7.05,-5.63,401.52
2019,344,32193.40,2.61,155.04,24.51,7.52,-1.28,556.31
2019,345,32153.42,0.00,183.28,24.51,-1.21,-8.47,322.54
2019,346,32117.24,0.00,216.23,24.51,-3.23,-13.34,218.53
2019,347,32084.89,3.02,178.33,27.53,4.49,-8.80,314.20
2019,348,32056.41,21.71,138.52,25.66,6.12,-1.53,546.01
2019,349,32031.81,1.28,93.82,24.57,-0.18,-3.41,475.00
2019,350,32011.11,5.59,104.74,30.16,-2.64,-7.57,345.95
2019,351,31994.32,5.38,92.33,35.54,-2.14,-6.28,382.15
2019,352,31981.47,1.76,178.58,37.30,-4.50,-11.25,258.83
2019,353,31972.57,0.00,129.57,37.30,-10.74,-15.09,189.33
2019,354,31967.61,0.00,200.77,37.30,-7.79,-16.14,173.49
2019,355,31966.60,0.00,239.12,37.30,-1.38,-16.80,164.11
2019,356,31969.55,0.00,240.05,37.30,6.50,-11.61,251.44
2019,357,31976.45,0.00,235.95,37.30,9.47,-7.11,358.30
2019,358,31987.30,0.00,162.79,36.86,1.57,-4.96,422.55
2019,359,32002.08,0.00,226.01,36.86,5.51,-7.38,351.04
2019,360,32020.79,0.70,187.06,35.85,4.58,-3.58,468.77
2019,361,32043.40,0.00,200.69,33.67,8.60,-0.82,575.34
2019,362,32069.92,0.00,163.46,31.60,5.59,-1.06,565.20
2019,363,32100.30,12.92,131.48,30.71,3.24,-3.89,458.15
2019,364,32134.53,5.32,109.05,28.86,3.98,-1.60,543.02
2019,365,32172.59,0.74,112.55,26.85,2.92,-1.21,559.02
2020,1,32214.62,0.00,112.87,32.27,-0.85,-5.01,420.93
2020,2,32260.24,0.00,225.27,32.21,6.21,-5.88,394.09
2020,3,32309.59,5.60,149.83,30.54,6.76,-2.01,526.91
2020,4,32362.63,7.33,61.51,27.90,3.20,0.28,623.44
2020,5,32419.31,4.28,40.40,26.95,-2.06,-3.75,463.00
2020,6,32479.60,0.00,170.54,26.78,1.21,-5.58,403.14
2020,7,32543.45,1.30,178.97,28.08,-0.61,-7.78,340.37
2020,8,32610.82,1.09,174.46,29.16,-1.70,-8.51,321.47
2020,9,32681.66,0.00,233.19,29.16,-2.94,-14.35,201.31
2020,10,32755.91,4.80,197.65,33.96,7.17,-9.77,291.07
2020,11,32833.53,2.20,189.36,31.01,16.28,1.03,658.22
2020,12,32914.46,0.00,226.78,26.75,15.69,4.13,820.59
2020,13,32998.65,0.00,212.95,25.64,5.81,-3.34,477.36
2020,14,33086.03,0.00,200.97,24.42,5.07,-3.10,485.98
2020,15,33176.56,3.94,130.56,22.88,4.02,-2.33,514.47
2020,16,33270.18,3.97,144.27,22.49,2.06,-5.08,418.81
2020,17,33366.81,0.00,153.28,22.49,-10.27,-15.47,183.38
2020,18,33466.41,5.34,211.77,27.84,-0.46,-17.29,157.43
2020,19,33568.92,1.98,252.70,29.82,-0.27,-11.68,249.94
2020,20,33674.26,0.00,146.74,29.82,-9.02,-13.79,210.76
2020,21,33782.38,0.00,245.07,29.82,-5.61,-15.58,181.80
2020,22,33893.21,0.00,283.60,29.82,-0.01,-16.09,174.23
2020,23,34006.69,0.00,286.32,29.82,3.83,-12.78,228.83
2020,24,34122.76,2.63,215.89,32.45,7.74,-6.67,370.89
2020,25,34241.35,32.36,84.32,30.43,2.22,-1.20,559.42
2020,26,34362.40,3.01,39.48,28.19,0.61,-0.67,581.58
2020,27,34485.85,3.36,38.67,26.33,-0.37,-1.58,544.15
2020,28,34611.62,2.68,57.51,25.53,-1.99,-4.09,451.11
2020,29,34739.67,0.00,141.49,25.53,-5.41,-9.58,295.52
2020,30,34869.92,0.00,302.29,25.53,-1.89,-16.34,170.54
2020,31,35002.31,0.40,284.20,25.93,-0.03,-11.64,250.75
2020,32,35136.78,1.15,102.95,25.09,-1.16,-3.99,454.59
2020,33,35273.27,5.62,167.88,30.71,0.65,-6.18,385.11
2020,34,35411.72,0.00,260.94,29.27,6.59,-2.57,505.66
2020,35,35552.07,0.00,248.72,27.68,6.23,-2.23,518.38
2020,36,35694.25,12.35,81.60,27.40,-2.42,-5.34,410.67
2020,37,35838.21,18.91,173.36,27.38,0.99,-5.95,391.80
2020,38,35983.89,22.84,147.34,50.22,-1.02,-6.42,377.86
2020,39,36131.23,2.60,166.36,52.82,-6.83,-12.82,228.09
2020,40,36280.18,3.72,262.39,56.54,-0.09,-13.76,211.29
2020,41,36430.68,2.06,223.57,56.54,2.88,-6.00,390.39
2020,42,36582.67,0.00,62.52,54.40,0.24,-0.91,571.38
2020,43,36736.11,7.54,170.14,53.72,1.15,-4.38,441.49
2020,44,36890.94,1.84,184.82,53.35,-0.85,-5.10,417.92
2020,45,37047.10,0.00,209.70,53.35,-11.27,-16.01,175.39
2020,46,37204.55,0.00,386.11,53.35,-2.85,-22.77,97.97
2020,47,37363.24,0.00,388.14,53.35,2.63,-17.44,155.54
2020,48,37523.12,0.00,288.17,53.35,-0.42,-7.93,336.28
2020,49,37684.13,2.11,265.23,55.45,3.55,-6.98,362.02
2020,50,37846.24,0.00,119.47,54.59,-1.42,-3.94,456.48
2020,51,38009.40,0.96,264.89,55.54,-5.46,-11.59,251.77
2020,52,38173.56,0.00,391.38,55.54,-1.90,-14.80,193.91
2020,53,38338.68,0.00,412.11,55.54,3.90,-13.67,212.81
2020,54,38504.72,0.00,413.18,55.54,7.35,-9.77,291.19
2020,55,38671.63,0.00,405.89,55.00,10.62,-4.70,430.79
2020,56,38839.38,3.37,190.50,53.07,4.43,-1.41,550.77
2020,57,39007.91,12.01,174.08,50.70,4.93,-0.35,595.45
2020,58,39177.20,0.00,263.24,50.70,0.01,-6.09,387.56
2020,59,39347.21,2.52,151.98,53.22,-4.19,-8.53,320.86
2020,60,39517.90,1.53,157.87,54.75,-7.50,-10.64,271.76
2020,61,39689.22,0.00,429.54,54.75,2.95,-11.03,263.44
2020,62,39861.15,0.54,442.98,54.60,12.26,-5.64,401.29
2020,63,40033.66,5.76,243.16,51.10,10.27,2.32,721.87
2020,64,40206.69,0.00,227.74,48.57,4.98,0.04,612.32
2020,65,40380.23,0.00,348.17,46.99,6.24,-2.24,518.03
2020,66,40554.24,3.33,259.01,45.46,5.88,-2.37,513.13
2020,67,40728.69,0.00,309.65,45.46,-0.54,-7.47,348.61
2020,68,40903.54,0.00,471.87,45.46,13.28,-7.34,352.22
2020,69,41078.77,0.00,466.82,43.56,19.17,-1.47,548.28
2020,70,41254.33,4.99,283.64,40.00,12.60,2.47,729.62
2020,71,41430.21,0.00,294.51,38.69,3.94,-2.87,494.28
2020,72,41606.38,1.26,422.42,36.81,11.00,-1.52,546.22
2020,73,41782.79,1.24,331.84,33.38,10.54,2.16,713.46
2020,74,41959.43,0.00,174.24,31.44,2.43,-1.37,552.30
2020,75,42136.27,0.00,314.03,30.96,2.58,-4.85,425.96
2020,76,42313.27,0.00,490.98,30.96,8.00,-9.80,290.42
2020,77,42490.41,0.00,423.34,30.88,5.31,-5.81,396.19
2020,78,42667.66,10.98,334.64,29.79,8.89,-3.42,474.58
2020,79,42845.00,3.44,326.08,27.81,10.40,-1.28,556.08
2020,80,43022.39,0.00,476.24,24.29,18.82,2.40,725.63
2020,81,43199.81,0.00,367.36,24.29,2.64,-6.30,381.37
2020,82,43377.22,1.06,475.38,25.34,3.40,-10.58,273.08
2020,83,43554.61,10.64,232.98,35.98,0.11,-6.60,372.83
2020,84,43731.95,0.00,120.96,34.06,0.76,-1.43,550.19
2020,85,43909.20,0.00,343.46,32.16,5.73,-1.47,548.32
2020,86,44086.34,3.75,384.37,30.07,14.62,-1.03,566.37
2020,87,44263.35,0.00,376.81,27.44,8.70,0.25,621.95
2020,88,44440.18,16.26,230.42,25.41,5.21,-1.16,561.04
2020,89,44616.82,3.00,276.92,21.65,11.22,2.96,755.13
2020,90,44793.24,7.61,215.66,18.31,7.99,1.95,703.18
2020,91,44969.40,1.46,233.30,14.75,7.12,2.47,729.52
2020,92,45145.28,0.00,293.94,12.06,6.16,0.40,628.82
2020,93,45320.85,0.00,451.27,10.75,7.42,-2.87,494.24
2020,94,45496.08,3.69,220.54,8.59,4.84,-0.86,573.49
2020,95,45670.93,0.00,397.57,5.30,10.34,1.83,696.95
2020,96,45845.38,0.00,438.42,1.55,12.98,2.95,754.61
2020,97,46019.39,0.00,451.87,0.00,11.96,-1.03,566.59
2020,98,46192.93,9.59,360.16,0.00,15.53,0.40,628.74
2020,99,46365.97,0.80,384.70,0.00,11.94,2.89,751.70
2020,100,46538.47,3.34,228.91,0.00,7.19,0.84,648.94
2020,101,46710.40,2.64,164.56,0.00,2.75,-1.50,547.28
2020,102,46881.73,0.00,401.30,0.00,6.39,-2.51,507.88
2020,103,47052.42,2.66,389.29,0.00,15.64,-2.71,500.29
2020,104,47222.43,8.95,362.25,0.00,17.51,3.11,763.25
2020,105,47391.72,0.00,275.17,0.00,6.43,0.73,643.95
2020,106,47560.26,4.64,287.79,0.00,4.30,-3.91,457.36
2020,107,47728.00,0.00,375.44,0.00,1.58,-6.23,383.51
2020,108,47894.92,6.93,309.09,0.00,3.17,-5.63,401.50
2020,109,48060.95,0.72,378.24,0.00,4.95,-2.77,497.95
2020,110,48226.08,2.63,395.09,0.00,14.07,-2.08,524.35
2020,111,48390.24,0.00,439.55,0.00,7.61,-2.12,522.89
2020,112,48553.40,1.52,448.36,0.00,7.16,-2.70,500.64
2020,113,48715.51,0.00,366.28,0.00,2.24,-4.87,425.47
2020,114,48876.53,1.92,416.98,0.00,4.73,-4.00,454.21
2020,115,49036.41,3.37,358.30,0.00,10.38,-1.04,566.10
2020,116,49195.10,0.00,489.35,0.00,15.20,2.79,746.11
2020,117,49352.56,33.34,283.47,0.00,8.82,1.21,666.53
2020,118,49508.72,1.69,289.54,0.00,5.13,-0.27,598.67
2020,119,49663.55,0.00,542.87,0.00,13.72,-2.95,491.42
2020,120,49816.99,0.00,537.71,0.00,16.28,-0.48,589.65
2020,121,49968.99,48.64,256.06,0.00,14.49,7.25,1018.64
2020,122,50119.49,1.28,353.68,0.00,13.81,6.26,951.66
2020,123,50268.45,1.19,515.55,0.00,18.01,3.22,769.54
2020,124,50415.79,0.00,513.86,0.00,22.78,6.87,992.70
2020,125,50561.48,0.52,218.27,0.00,8.29,3.94,809.45
2020,126,50705.44,0.00,471.37,0.00,9.11,-2.24,518.22
2020,127,50847.63,0.55,475.02,0.00,9.03,-2.38,512.82
2020,128,50987.97,4.35,397.77,0.00,13.18,-1.69,539.60
2020,129,51126.43,2.71,299.86,0.00,6.24,-2.30,515.66
2020,130,51262.92,1.74,301.91,0.00,1.19,-4.76,428.84
2020,131,51397.40,0.00,533.83,0.00,12.48,-2.71,500.39
2020,132,51529.79,2.81,326.67,0.00,10.63,0.54,635.06
2020,133,51660.05,1.47,432.35,0.00,7.17,-2.39,512.18
2020,134,51788.10,0.00,533.60,0.00,9.86,-4.50,437.53
2020,135,51913.88,4.74,425.52,0.00,18.65,-1.44,549.59
2020,136,52037.33,21.32,415.27,0.00,25.58,4.89,865.51
2020,137,52158.39,0.00,331.07,0.00,16.48,8.87,1137.30
2020,138,52276.98,4.58,399.18,0.00,21.73,4.66,851.28
2020,139,52393.06,3.53,167.98,0.00,13.26,8.34,1096.98
2020,140,52506.55,0.00,409.63,0.00,19.64,9.52,1188.38
2020,141,52617.38,0.00,502.74,0.00,20.13,5.76,919.55
2020,142,52725.51,0.00,557.44,0.00,22.82,2.83,748.53
2020,143,52830.86,8.25,382.84,0.00,23.58,7.53,1038.66
2020,144,52933.37,0.00,381.41,0.00,23.79,13.67,1563.42
2020,145,53032.97,0.00,468.07,0.00,24.15,10.45,1264.93
2020,146,53129.62,0.00,470.74,0.00,27.35,12.88,1485.58
2020,147,53223.24,0.00,473.19,0.00,30.32,14.82,1684.46
2020,148,53313.77,0.00,366.12,0.00,27.09,16.74,1904.63
2020,149,53401.17,0.97,249.18,0.00,23.30,16.97,1932.95
2020,150,53485.36,12.69,282.47,0.00,26.51,16.26,1848.28
2020,151,53566.30,0.00,414.40,0.00,20.73,9.77,1208.64
2020,152,53643.92,0.00,341.95,0.00,11.94,3.83,803.03
2020,153,53718.18,0.00,521.73,0.00,18.05,2.31,721.45
2020,154,53789.03,6.39,304.01,0.00,17.52,7.27,1019.82
2020,155,53856.40,3.19,320.91,0.00,23.79,11.89,1391.94
2020,156,53920.26,0.81,503.77,0.00,27.75,11.16,1325.61
2020,157,53980.56,6.91,314.66,0.00,27.63,15.36,1744.71
2020,158,54037.25,2.14,255.03,0.00,23.30,14.46,1645.97
2020,159,54090.30,0.00,384.05,0.00,18.20,8.43,1103.92
2020,160,54139.65,0.00,508.70,0.00,21.08,5.42,897.71
2020,161,54185.28,0.00,545.53,0.00,29.08,8.24,1090.17
2020,162,54227.15,3.16,341.35,0.00,28.92,14.45,1644.94
2020,163,54265.23,0.00,266.76,0.00,23.62,16.54,1881.38
2020,164,54299.49,0.00,423.23,0.00,20.50,8.83,1134.75
2020,165,54329.90,0.00,408.85,0.00,14.26,3.86,805.10
2020,166,54356.43,0.00,513.89,0.00,16.51,1.55,683.21
2020,167,54379.08,0.00,544.72,0.00,20.62,2.46,729.25
2020,168,54397.81,0.00,540.10,0.00,23.79,5.30,890.11
2020,169,54412.62,0.00,533.58,0.00,26.47,7.40,1029.11
2020,170,54423.49,5.93,367.26,0.00,26.89,10.64,1280.95
2020,171,54430.42,2.50,319.69,0.00,26.23,13.32,1528.51
2020,172,54433.39,0.00,414.16,0.00,27.13,14.80,1682.46
2020,173,54432.41,0.00,429.43,0.00,28.12,15.06,1710.83
2020,174,54427.48,0.00,421.11,0.00,29.66,16.60,1888.07
2020,175,54418.60,7.85,247.41,0.00,27.52,18.19,2087.39
2020,176,54405.77,0.00,375.15,0.00,22.95,12.76,1473.90
2020,177,54389.02,3.58,330.73,0.00,23.40,10.77,1291.81
2020,178,54368.34,2.33,315.00,0.00,24.88,12.86,1483.45
2020,179,54343.77,25.00,297.83,0.00,23.19,12.12,1413.22
2020,180,54315.31,0.00,333.69,0.00,25.23,16.08,1826.42
2020,181,54282.99,1.14,388.22,0.00,25.95,14.90,1693.04
2020,182,54246.83,4.34,194.44,0.00,22.22,15.47,1757.08
2020,183,54206.87,0.00,367.35,0.00,24.67,14.65,1665.90
2020,184,54163.13,0.00,477.24,0.00,29.57,13.93,1590.43
2020,185,54115.65,0.00,365.03,0.00,27.55,17.15,1954.84
2020,186,54064.46,0.00,439.31,0.00,28.54,15.14,1720.38
2020,187,54009.61,0.00,500.95,0.00,29.10,12.01,1402.73
2020,188,53951.12,0.00,491.14,0.00,30.28,13.27,1524.03
2020,189,53889.05,0.00,401.18,0.00,28.48,16.29,1851.35
2020,190,53823.45,1.20,389.85,0.00,29.55,17.71,2025.46
2020,191,53754.35,0.00,444.09,0.00,32.05,17.45,1992.39
2020,192,53681.80,17.68,261.83,0.00,29.05,18.96,2191.45
2020,193,53605.87,39.85,241.05,0.00,28.45,19.30,2237.85
2020,194,53526.59,0.00,317.48,0.00,26.40,17.67,2019.92
2020,195,53444.04,0.00,354.29,0.00,24.26,14.61,1662.33
2020,196,53358.25,0.00,400.73,0.00,24.13,12.98,1494.78
2020,197,53269.29,0.00,474.90,0.00,27.69,12.71,1468.86
2020,198,53177.22,0.79,268.74,0.00,21.85,15.20,1726.19
2020,199,53082.09,0.00,357.79,0.00,26.59,17.14,1953.50
2020,200,52983.97,0.00,500.60,0.00,30.24,13.48,1544.14
2020,201,52882.92,3.90,353.72,0.00,31.26,15.99,1815.85
2020,202,52778.99,0.00,338.57,0.00,27.53,18.53,2133.25
2020,203,52672.26,1.01,455.91,0.00,26.34,13.09,1505.43
2020,204,52562.78,2.35,319.02,0.00,27.48,15.39,1748.08
2020,205,52450.63,14.86,267.61,0.00,27.36,17.77,2033.90
2020,206,52335.85,0.00,406.30,0.00,26.96,15.65,1776.58
2020,207,52218.51,0.00,421.09,0.00,27.66,15.62,1773.92
2020,208,52098.69,0.00,444.26,0.00,28.55,15.24,1730.87
2020,209,51976.44,2.90,361.67,0.00,32.29,15.55,1765.57
2020,210,51851.83,0.00,305.22,0.00,26.64,18.52,2131.26
2020,211,51724.91,6.32,322.39,0.00,27.04,14.41,1641.14
2020,212,51595.76,4.45,253.93,0.00,25.08,16.01,1818.27
2020,213,51464.44,0.00,478.65,0.00,26.08,10.78,1292.68
2020,214,51331.00,0.96,483.99,0.00,28.36,12.10,1403.99
2020,215,51195.52,0.00,438.31,0.00,29.57,15.55,1765.71
2020,216,51058.05,3.17,221.53,0.00,26.85,18.75,2162.15
2020,217,50918.65,22.76,111.78,0.00,20.97,17.40,1986.56
2020,218,50777.38,0.00,347.14,0.00,23.73,14.77,1679.01
2020,219,50634.31,1.98,446.90,0.00,22.62,9.97,1225.22
2020,220,50489.48,1.23,443.05,0.00,24.33,11.53,1358.54
2020,221,50342.97,0.00,420.14,0.00,27.01,14.83,1685.42
2020,222,50194.82,0.00,458.90,0.00,28.52,13.82,1579.08
2020,223,50045.09,0.00,452.31,0.00,30.36,15.35,1743.26
2020,224,49893.84,5.62,296.99,0.00,30.80,18.48,2125.54
2020,225,49741.12,0.00,387.12,0.00,26.17,14.91,1694.42
2020,226,49586.99,0.00,459.04,0.00,27.57,12.30,1429.81
2020,227,49431.49,0.00,433.57,0.00,27.29,13.52,1548.99
2020,228,49274.68,0.00,394.87,0.00,26.36,14.40,1639.53
2020,229,49116.60,3.88,278.26,0.00,25.80,14.84,1686.79
2020,230,48957.32,5.13,258.09,0.00,24.84,15.11,1716.09
